
brand, type, flavour, THC_mg, CBD_mg, quantity
Tweed, edible, mocha & milk chocolate, 10, 1, 4
Bhang,  edible, dark chocolate, 10, 0, 1
Chwowie, edible, milk chocolate, 10, 1, 1
Chwowie, edible, watermelon gummies, 10, 1, 4
Sourz (Spinach), edible, strawberry mango (sativa), 2, 0.5, 5
Bhang,  edible, dark chocolate, 10, 0, 1
MXG, edible, tropical fruit drink, 10, 0.9, 1
The Vision, pre-roll joints, NA, 15.80, 1, 2
Sourz (Spinach), edible, strawberry mango (sativa), 2, 0.5, 5
TIDAL,  edible, fruit punch gummy (sativa), 10, 0, 1
Wana quick,  edible, pineapple coconut sorbet, 5, 0, 2
Twd, edible, mixed berry gummies, 2, 1, 5
MAC1, pre-rolled joints, NA, 3.74, 1, 2
Sourz (Spinach),  edible, strawberry mango (sativa), 2, 0.5, 5
Wana quick, edible, pineapple coconut sorbet, 5, 0, 2
Chwowie,  edible, watermelon gummies, 10, 0.25, 4
Bhang, edible, dark chocolate, 10, 0, 1
Pantry, edible, peach jellies, 2, 2, 5
Spinach, pre-roll joints, atomic sour grapefruit (indica), 2, 0, 3
Kolab Project, edible, cherry cola pop, 10, 1, 1
Edison Cannabis Co, pre-roll joints, ultra sour (sativa), 186, 0.70, 3
Foray, edible, salted caramel, 10, 10, 1
Sourz (Spinach), edible, peach orange gummies, 2, 2, 5
Olli, edible, butter caramelts, 2.5, 0, 4
Bhang,  edible, dark chocolate, 10, 0, 1
Bhang,  edible, dark chocolate, 10, 0, 1
Foray, edible, salted caramel, 10, 10, 1
Bhang,  edible,milk chocolate, 10, 0, 1
Ripple QuickSticks, edible, lemonade flavoured powder, 10, 1, 1
Kolab Project, edible, cherry cola pop, 10, 1, 1
Kolab Project, edible, cherry cola pop, 10, 1, 1
Back Forty, edible, sour grape gummies, 2.5, 0, 4
Bhang,  edible,milk chocolate, 10, 0, 1
Legend, edible, cool mint milk chocolate, 10, 0, 1
Edison Bytes, edible, chocolate truffle, 5, 0, 2
Legend, edible, cool mint crush milk chocolate, 10, 0, 1
Wana, edible, mango sativa, 5, 1, 2
Rilaxe, edible, mango tango dried fruit, 10, 0.3, 1
Rilaxe, edible, mango tango dried fruit, 10, 0.3, 1
Legend, edible, cool mint crush milk chocolate, 10, 0, 1












